All birth date fields are required.,All birth date fields are required.
Birth Date,Birth Date
Branch,Branch
Click <a href="%s">here</a> to continue shopping.,Click <a href="%s">here</a> to continue shopping.
Click here to verify,Click here to verify
Cookie-Dependent,Cookie-Dependent
First Name,First Name
Last Name,Last Name
Not Verified,Not Verified
School,School
SheerID Verification,SheerID Verification
SheerID Verified Affiliation Status,SheerID Verified Affiliation Status
SheerID Verified Affiliations,SheerID Verified Affiliations
Skip this step,Skip this step
Submit,Submit
Success!,Success!
Unable to verify. Please check that your information is correct.,Unable to verify. Please check that your information is correct.
Upload proof of affiliation,Upload proof of affiliation
Verification,Verification
Verified,Verified
Verify,Verify
Verifying...,Verifying...
STUDENT_FULL_TIME,Full-time Student
STUDENT_PART_TIME,Part-time Student
ALUM,Alum
FACULTY,Faculty
STAFF,Staff
AFFILIATE,Affiliate
EMPLOYEE,Employee
NON_PROFIT,Non-Profit
ACTIVE_DUTY,Active-Duty Military
VETERAN,Veteran